"Municpio";"Solteira";"Casada";"Viuva";"Separada judicialmente";"Uniao consensual";"Ignorado";"Total"
"350925 CAJATI";1;-;-;-;1;-;2
"350990 CANANEIA";2;-;-;-;1;-;3
"351480 ELDORADO";3;2;-;-;1;-;6
"352030 IGUAPE";3;4;-;-;6;-;13
"352042 ILHA COMPRIDA";1;2;-;-;2;-;5
"352330 ITARIRI";3;2;-;-;2;-;7
"352460 JACUPIRANGA";1;-;-;-;1;-;2
"352610 JUQUIA";2;6;-;-;1;2;11
"352990 MIRACATU";-;2;-;-;4;3;9
"353620 PARIQUERA-ACU";391;590;-;27;820;-;1828
"353720 PEDRO DE TOLEDO";2;-;-;-;1;-;3
"354260 REGISTRO";240;589;2;15;791;-;1637
"355180 SETE BARRAS";-;-;-;-;2;-;2
"Total";649;1197;2;42;1633;5;3528
 
